n_params	params	my_signal_loss	monai_signal_loss	my_time	monai_time
2	['scale_params', 'translate_params']	368.08417	841.2316	0.46874284744262695	1.0929291248321533
2	['shear_params', 'flip_params']	362.4291	362.42905	0.4853529930114746	0.9220151901245117
2	['rotate_params', 'scale_params']	343.22403	796.8022	0.5203680992126465	0.7114720344543457
2	['rotate_params', 'flip_params']	348.22073	348.2208	0.5802559852600098	0.546205997467041
2	['translate_params', 'flip_params']	249.6218	249.62543	0.47251296043395996	0.9473879337310791
2	['shear_params', 'flip_params']	362.8931	362.89316	0.5111899375915527	0.964573860168457
2	['shear_params', 'flip_params']	361.6721	361.67212	0.4778580665588379	0.9808030128479004
2	['shear_params', 'rotate_params']	356.81537	561.47565	0.530228853225708	1.110872745513916
2	['flip_params', 'scale_params']	379.3377	734.9306	0.46423792839050293	0.3464372158050537
2	['flip_params', 'rotate_params']	346.33722	346.3371	0.5085272789001465	0.50288987159729
2	['shear_params', 'translate_params']	395.9388	617.0784	0.5046539306640625	1.5127270221710205
2	['translate_params', 'rotate_params']	347.48856	558.60736	0.6953921318054199	1.677586317062378
2	['rotate_params', 'translate_params']	352.65747	553.19055	0.4851858615875244	1.4124352931976318
2	['translate_params', 'scale_params']	327.59222	813.5809	0.47026705741882324	1.2338879108428955
2	['flip_params', 'shear_params']	363.01648	363.01636	0.5308048725128174	0.9400262832641602
2	['shear_params', 'translate_params']	363.39713	550.2033	0.4856278896331787	1.5407729148864746
2	['scale_params', 'rotate_params']	385.42676	844.70026	0.49080777168273926	0.6409180164337158
2	['translate_params', 'shear_params']	362.3761	569.2154	0.5140388011932373	1.5703001022338867
2	['rotate_params', 'translate_params']	1830.5073	1943.8818	0.5704901218414307	1.46219801902771
2	['scale_params', 'shear_params']	375.34125	840.00305	0.5229570865631104	1.0792608261108398
2	['rotate_params', 'shear_params']	355.03436	560.6767	0.6522610187530518	1.2091119289398193
2	['translate_params', 'scale_params']	335.59113	813.7899	0.468853235244751	1.124135971069336
2	['flip_params', 'rotate_params']	342.76764	342.76767	0.6076531410217285	0.6347830295562744
2	['scale_params', 'translate_params']	1612.3954	1891.2625	0.45684266090393066	1.1640920639038086
2	['scale_params', 'rotate_params']	375.08514	814.6195	0.6096518039703369	0.8495848178863525
2	['scale_params', 'flip_params']	374.26685	729.8434	0.4695448875427246	0.36243367195129395
2	['translate_params', 'shear_params']	356.61935	576.2907	0.4708850383758545	1.5479469299316406
2	['rotate_params', 'flip_params']	350.48367	350.4837	0.5201981067657471	0.5180389881134033
2	['flip_params', 'shear_params']	365.3859	365.38583	0.5313389301300049	0.977283239364624
2	['scale_params', 'rotate_params']	346.1585	833.8108	0.6024017333984375	0.7632670402526855
2	['rotate_params', 'translate_params']	346.7479	542.9496	0.6082229614257812	1.5181169509887695
2	['flip_params', 'scale_params']	221.37839	650.8623	0.4702262878417969	0.3828849792480469
2	['scale_params', 'translate_params']	365.42667	806.5624	0.46825098991394043	1.1172349452972412
2	['rotate_params', 'scale_params']	377.0028	699.7784	0.6484262943267822	0.6822431087493896
2	['rotate_params', 'translate_params']	344.18878	530.802	0.625295877456665	1.4761359691619873
2	['scale_params', 'flip_params']	350.18845	719.00055	0.4694812297821045	0.3727281093597412
2	['scale_params', 'flip_params']	354.53085	690.27167	0.4744551181793213	0.36558008193969727
2	['scale_params', 'flip_params']	314.9027	718.4114	0.46825385093688965	0.3663930892944336
2	['scale_params', 'shear_params']	412.8343	876.53406	0.46997499465942383	1.13447904586792
2	['translate_params', 'scale_params']	550.99194	932.8983	0.46080589294433594	1.1117048263549805
