n_params,,my_signal_loss,monai_signal_loss,my_time,monai_time,,,,
4,['translate_params', 'scale_params', 'shear_params', 'rotate_params'],369.4579,1060.4869,0.465357065,2.134083986,
4,['flip_params', 'rotate_params', 'scale_params', 'shear_params'],337.55682,895.0205,0.4687078,1.300354004,
4,['scale_params', 'rotate_params', 'shear_params', 'translate_params'],624.9455,2373.4187,0.660335779,2.270876169,
4,['shear_params', 'flip_params', 'rotate_params', 'scale_params'],341.92615,899.4765,0.467717886,1.246725321,
4,['flip_params', 'translate_params', 'rotate_params', 'shear_params'],350.4774,610.11774,0.487537384,1.951164007,
4,['shear_params', 'translate_params', 'rotate_params', 'scale_params'],372.30585,1587.4742,0.517255783,2.096012115,
4,['rotate_params', 'flip_params', 'shear_params', 'translate_params'],348.41742,700.352,0.611773014,1.963910103,
4,['translate_params', 'rotate_params', 'shear_params', 'scale_params'],2421.7878,3020.101,0.638746738,2.231988907,
4,['shear_params', 'flip_params', 'scale_params', 'rotate_params'],473.54013,997.2284,0.509229183,1.217453241,
4,['scale_params', 'translate_params', 'rotate_params', 'flip_params'],338.26184,927.3843,0.467775106,1.49259305,
4,['shear_params', 'translate_params', 'flip_params', 'rotate_params'],362.754,696.5109,0.534731865,1.977665901,
4,['translate_params', 'rotate_params', 'flip_params', 'scale_params'],382.4642,961.13025,0.480849266,1.517127037,
4,['scale_params', 'translate_params', 'rotate_params', 'shear_params'],1348.3921,2634.6274,0.495981693,2.185859919,
4,['scale_params', 'shear_params', 'flip_params', 'translate_params'],386.66315,925.86285,0.465762615,1.674420118,
4,['translate_params', 'rotate_params', 'flip_params', 'scale_params'],679.8738,1154.5287,0.520852089,1.623335838,
4,['translate_params', 'shear_params', 'scale_params', 'flip_params'],359.72668,912.4901,0.476821184,1.709049225,
4,['translate_params', 'flip_params', 'scale_params', 'rotate_params'],972.2698,2820.4155,0.508481979,1.550161362,
4,['shear_params', 'translate_params', 'rotate_params', 'flip_params'],489.76416,899.0554,0.467331886,1.956539154,
4,['scale_params', 'rotate_params', 'translate_params', 'flip_params'],347.84256,939.45544,0.513798952,1.541059017,
4,['flip_params', 'shear_params', 'scale_params', 'rotate_params'],408.56244,982.9074,0.479955912,1.171149015,
4,['rotate_params', 'flip_params', 'translate_params', 'scale_params'],373.6184,906.3733,0.456655025,1.556658983,
4,['flip_params', 'rotate_params', 'scale_params', 'shear_params'],2481.9204,2840.014,0.51277113,1.220284939,
4,['rotate_params', 'shear_params', 'flip_params', 'scale_params'],371.05786,944.41376,0.520441771,1.250173092,
4,['rotate_params', 'translate_params', 'shear_params', 'scale_params'],374.73627,1024.576,0.571750879,2.284282923,
4,['scale_params', 'shear_params', 'translate_params', 'flip_params'],1525.5356,1981.2484,0.480939865,1.666984081,
4,['translate_params', 'rotate_params', 'flip_params', 'scale_params'],584.98376,1037.2928,0.490400314,1.498883247,
4,['translate_params', 'flip_params', 'scale_params', 'rotate_params'],780.81415,1352.8893,0.666787863,1.65903306,
4,['flip_params', 'translate_params', 'scale_params', 'rotate_params'],708.8435,1222.2522,0.52953887,1.644255877,
4,['rotate_params', 'shear_params', 'translate_params', 'flip_params'],364.23166,746.75977,0.464144945,1.981051922,
4,['translate_params', 'flip_params', 'scale_params', 'shear_params'],350.2862,956.6939,0.467675924,1.73558569,
4,['flip_params', 'translate_params', 'rotate_params', 'scale_params'],390.0988,955.47974,0.699085236,1.82761693,
4,['scale_params', 'flip_params', 'translate_params', 'shear_params'],405.60733,838.2523,0.474905729,1.697398901,
5,['rotate_params', 'flip_params', 'scale_params', 'translate_params', 'shear_params'],308.37958,961.3762,0.652202129,2.389088869
5,['scale_params', 'shear_params', 'translate_params', 'flip_params', 'rotate_params'],402.1945,1231.5216,0.466905832,2.092958927
5,['scale_params', 'translate_params', 'shear_params', 'flip_params', 'rotate_params'],359.37558,1023.4182,0.521705866,2.159767866
5,['translate_params', 'shear_params', 'rotate_params', 'flip_params', 'scale_params'],7272.8755,7488.991,0.470383883,2.24778533
